"QC Type";"AST";"Id";"qc_date";"name_media";"batch_no";"sterility_test_conclusion";"reported_by_pc";"ast";"conclusion_pc";"conclusion_gp";"qc_result";"comments";"qc_validated_set";"User ID"
"IQC";"no";"448";"2020-03-16";"Blood Culture Bottle (adult)";"BHI A160320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"450";"2020-03-17";"Blood Agar";"BAP170320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"452";"2020-03-18";"Lysine Iron Agar";"LIA180320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"454";"2020-03-18";"Chocolate Agar";"CHOC180320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"456";"2020-03-18";"Mueller Hinton II Agar ";"MHII180320-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"458";"2020-03-18";"Blood Agar";"BAP180320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"460";"2020-03-18";"Blood Culture Bottle (child)";"BHI P170320-01";"pass";"1";"1";"pass";"pass";"1";"Incorrect media product selected; should be adult not pediatric";"1";"vivian"
"IQC";"no";"462";"2020-03-20";"Chocolate Agar";"CHOC190320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"464";"2020-03-20";"Mueller Hinton II Agar ";"MHII190320-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"466";"2020-03-19";"MacConkey Agar";"MAC190320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"468";"2020-03-17";"Sheep Blood Mueller-Hinton Agar";"SMH170320-01";"pass";"1";"0";"pass";"pass";"0";"Fail with fist sampling (Growth one colony on 1 plate) Second sampling plan control and testing pass sterility";"1";"makteyka"
"IQC";"no";"470";"2020-03-18";"Blood Culture Bottle (adult)";"BHI A170320-01";"pass";"1";"1";"pass";"pass";"0";"No ingredients listed as product consumables were already used during rejected batch ""child""";"1";"vivian"
"IQC";"no";"472";"2020-03-24";"Urea Agar";"URE230320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"474";"2020-03-24";"Lysine Iron Agar";"LIA230320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"476";"2020-03-24";"Mueller Hinton II Agar ";"MHII230320-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"478";"2020-03-24";"Trypticase Soy Broth ";"TSB230320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"480";"2020-03-24";"Urea Agar";"URE240320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"482";"2020-03-24";"Mannitol Salt Agar";"MSA240320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"484";"2020-03-20";"Trypticase Soy Broth + 20% glycerol";"TSBG200320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"486";"2020-03-23";"Blood Culture Bottle (adult)";"BHI A200320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"488";"2020-03-23";"Blood Culture Bottle (adult)";"BHI A200320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"490";"2020-03-20";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"TCBS190320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"492";"2020-03-20";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"TCBS200320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"494";"2020-03-20";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"TCBS200320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"496";"2019-12-25";"Sulfide Indole Motility Medium";"SIM241219-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"498";"2019-12-26";"Sulfide Indole Motility Medium";"SIM251219-03";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"500";"2020-03-27";"Blood Agar";"BAP260320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"502";"2020-03-27";"Blood Agar";"BAP260320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"504";"2020-04-25";"Kligler Iron Agar";"KIA250320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"yes";"506";"2020-03-25";"Mueller Hinton II Agar ";"MHII250320-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"508";"2020-03-25";"Simmons Citrate Agar ";"CIT250320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"510";"2020-03-25";"Blood Culture Bottle (adult)";"BHI A240320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"512";"2020-03-25";"Blood Culture Bottle (adult)";"BHI A240320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"514";"2020-03-31";"Blood Culture Bottle (child)";"BHI P300320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"516";"2020-03-25";"Chocolate Agar";"CHOC250320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"518";"2020-03-24";"Trypticase Soy Agar ";"TSA240320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"520";"2020-03-27";"Blood Culture Bottle (adult)";"BHI A260320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"522";"2020-03-27";"Blood Culture Bottle (adult)";"BHI A270320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"524";"2020-04-03";"Mueller Hinton II Agar ";"MHII020420-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"526";"2020-04-03";"Blood Agar";"BAP010420-03";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"528";"2020-04-02";"Blood Culture Bottle (adult)";"BHI A260320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"530";"2020-04-01";"Blood Agar";"BAP010420-02";"pass";"1";"1";"pass";"pass";"0";"";"";""
"IQC";"no";"532";"2020-03-31";"Blood Agar";"BAP310320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"534";"2020-03-31";"Chocolate Agar";"CHOC310320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"536";"2020-04-06";"Lysine Iron Agar";"LIA060420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"538";"2020-04-06";"Urea Agar";"URE060420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"540";"2020-04-08";"Blood Agar";"BAP060420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"542";"2020-04-06";"Blood Agar";"BAP060420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"544";"2020-04-07";"MacConkey Agar";"MAC070420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"546";"2020-04-09";"Ashdown's Agar";"ASHA070420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"548";"2020-04-03";"Blood Culture Bottle (adult)";"BHI A010420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"550";"2020-04-02";"Blood Culture Bottle (adult)";"BHI A020420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"552";"2020-04-03";"Blood Culture Bottle (adult)";"BHI A020420-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"554";"2020-04-03";"Blood Culture Bottle (adult)";"BHI A030420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"556";"2020-04-03";"Blood Culture Bottle (adult)";"BHI A030420-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"558";"2020-04-09";"MacConkey Agar";"MAC090420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"560";"2020-04-08";"Blood Culture Bottle (adult)";"BHI A080420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"562";"2020-04-14";"Sheep Blood Mueller-Hinton Agar";"SMH130420-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"564";"2020-04-17";"Chocolate Agar";"CHOC150420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"566";"2020-04-14";"Hektoen Enteric Agar";"HE140420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"568";"2020-04-13";"Trypticase Soy Agar ";"TSA090420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"570";"2020-04-13";"Trypticase Soy Broth + 20% glycerol";"TSBG080420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"572";"2020-04-14";"Sulfide Indole Motility Medium";"SIM140420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"574";"2020-04-21";"Mannitol Salt Agar";"MSA200420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"576";"2020-04-23";"Simmons Citrate Agar ";"CIT210420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"578";"2020-04-23";"Kligler Iron Agar";"KIA210420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"580";"2020-04-23";"Blood Agar";"BAP210420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"582";"2020-04-23";"Mueller Hinton II Agar ";"MHII200420-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"584";"2020-04-22";"MacConkey Agar";"MAC170420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"586";"2020-04-22";"Blood Agar";"BAP160420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"588";"2020-04-22";"Blood Agar";"BAP160420-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"590";"2020-04-09";"MacConkey Agar";"MAC090420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"592";"2020-04-13";"Blood Culture Bottle (adult)";"BHI A100420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"594";"2020-04-22";"Chocolate Agar";"CHOC220420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"596";"2020-04-22";"MacConkey Agar";"MAC220420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"598";"2020-04-28";"Mueller Hinton II Agar ";"MHII230420-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"600";"2020-04-30";"Blood Culture Bottle (adult)";"BHI A240420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"602";"2020-04-30";"Chocolate Agar";"CHOC280420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"604";"2020-04-30";"Trypticase Soy Agar ";"TSA270420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"606";"2020-04-29";"Urea Agar";"URE270420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"608";"2020-05-11";"Mannitol Salt Agar";"MSA110520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"610";"2020-05-12";"Hektoen Enteric Agar";"HE070520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"612";"2020-05-11";"Simmons Citrate Agar ";"CIT110520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"614";"2020-05-08";"MacConkey Agar";"MAC290420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"616";"2020-04-29";"MacConkey Agar";"MAC290420-01";"";"";"1";"";"";"0";"";"1";"makteyka"
"IQC";"no";"618";"2020-05-08";"Blood Agar";"BAP040520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"620";"2020-05-08";"Trypticase Soy Broth ";"TSB300420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"622";"2020-05-08";"Trypticase Soy Broth + 20% glycerol";"TSBG300420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"624";"2020-05-13";"Ashdown's Agar";"ASHA120520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"626";"2020-05-13";"Blood Agar";"BAP120520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"628";"2020-05-13";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"TCBS120520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"630";"2020-05-08";"Blood Culture Bottle (adult)";"BHI A080520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"632";"2020-05-07";"Sheep Blood Mueller-Hinton Agar";"SMH070520-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"634";"2020-05-08";"Blood Culture Bottle (adult)";"BHI A050520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"636";"2020-05-08";"Mueller Hinton II Agar ";"MHII290420-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"638";"2020-05-08";"Blood Culture Bottle (adult)";"BHI A300420-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"640";"2020-05-18";"Chocolate Agar";"CHOC180520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"642";"2020-05-18";"Hektoen Enteric Agar";"HE180520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"644";"2020-05-19";"Blood Agar";"BAP190520-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"646";"2020-05-15";"Blood Culture Bottle (child)";"BHI P150520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"648";"2020-05-15";"Blood Culture Bottle (adult)";"BHI A130520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"650";"2020-05-20";"Blood Agar";"BAP200520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"652";"2020-05-21";"Lysine Iron Agar";"LIA200520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"654";"2020-05-20";"Kligler Iron Agar";"KIA190520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"656";"2020-05-20";"Chocolate Agar";"CHOC200520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"658";"2020-05-22";"Urea Agar";"URE210520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"660";"2020-05-25";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"TCBS250520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"662";"2020-05-22";"Sulfide Indole Motility Medium";"SIM210520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"664";"2020-05-22";"Mannitol Salt Agar";"MSA210520-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"yes";"666";"2020-05-25";"Mueller Hinton II Agar ";"MHII250520-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"668";"2020-05-25";"Kligler Iron Agar";"KIA250520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"670";"2020-05-26";"Urea Agar";"URE260520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"672";"2020-05-26";"Blood Agar";"BAP260520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"674";"2020-05-25";"Blood Culture Bottle (adult)";"BHI A220520-08";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"676";"2020-05-27";"MacConkey Agar";"MAC270520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"678";"2020-05-27";"Chocolate Agar";"CHOC270520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"680";"2020-05-29";"Chocolate Agar";"CHOC280520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"682";"2020-06-01";"Chocolate Agar";"CHOC010620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"684";"2020-05-29";"Blood Agar";"BAP280520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"686";"2020-05-29";"Trypticase Soy Agar ";"TSA280520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"688";"2020-06-05";"Mueller Hinton II Agar ";"MHII040620-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"690";"2020-06-05";"MacConkey Agar";"MAC040620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"692";"2020-06-05";"Lysine Iron Agar";"LIA040620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"694";"2020-06-03";"Hektoen Enteric Agar";"HE030620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"696";"2020-06-03";"Sheep Blood Mueller-Hinton Agar";"SMH030620-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"698";"2020-06-03";"Blood Agar";"BAP030620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"700";"2020-06-03";"Sulfide Indole Motility Medium";"SIM020620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"702";"2020-06-03";"Kligler Iron Agar";"KIA020620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"704";"2020-06-01";"Mueller Hinton II Agar ";"MHII010620-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"706";"2020-06-01";"Blood Culture Bottle (adult)";"BHI A290520-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"708";"2020-06-01";"Blood Culture Bottle (adult)";"BHI A290520-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"710";"2020-06-11";"Mannitol Salt Agar";"MSA080620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"712";"2020-06-11";"Simmons Citrate Agar ";"CIT080620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"714";"2020-06-11";"Blood Culture Bottle (adult)";"BHI A050620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"716";"2020-06-10";"Blood Agar";"BAP100620-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"718";"2020-06-10";"Blood Agar";"BAP100620-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
