"Customer name";"Media name";"Quantity";"Batch number";"Delivery date";"Media type";"Original ref";"Original quantity"
"National Public Health Laboratory Microbiology Unit";"Blood Agar";"290";"BAP260220-01";"2020-03-12";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Agar";"10";"BAP200220-01";"2020-03-12";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Mueller Hinton II Agar ";"40";"MHII270220-01";"2020-03-12";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Mueller Hinton II Agar ";"260";"MHII040320-01";"2020-03-12";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Sheep Blood Mueller-Hinton Agar";"20";"SMH250220-01";"2020-03-12";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Kligler Iron Agar";"70";"KIA260220-01";"2020-03-12";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Lysine Iron Agar";"50";"LIA240220-01";"2020-03-12";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Lysine Iron Agar";"20";"LIA270220-01";"2020-03-12";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Simmons Citrate Agar ";"30";"CIT180220-01";"2020-03-12";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Simmons Citrate Agar ";"40";"CIT250220-01";"2020-03-12";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Urea Agar";"70";"URE270220-01";"2020-03-12";"Tube";"";""
"Battambang";"Blood Agar";"100";"BAP200220-01";"2020-03-09";"Plate";"";""
"Battambang";"Chocolate Agar";"230";"CHOC020320-01";"2020-03-09";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"90";"MHII260220-01";"2020-03-09";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"230";"MHII270220-01";"2020-03-09";"Plate";"";""
"Battambang";"Sheep Blood Mueller-Hinton Agar";"40";"SMH250220-01";"2020-03-09";"Plate";"";""
"Battambang";"Mannitol Salt Agar";"80";"MSA240220-01";"2020-03-09";"Plate";"";""
"Battambang";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"20";"TCBS190220-01";"2020-03-09";"Plate";"";""
"Battambang";"Kligler Iron Agar";"130";"KIA180220-01";"2020-03-09";"Tube";"";""
"Battambang";"Kligler Iron Agar";"10";"KIA260220-01";"2020-03-09";"Tube";"";""
"Battambang";"Lysine Iron Agar";"200";"LIA240220-01";"2020-03-09";"Tube";"";""
"Battambang";"Simmons Citrate Agar ";"130";"CIT180220-01";"2020-03-09";"Tube";"";""
"Battambang";"Urea Agar";"60";"URE270220-01";"2020-03-09";"Tube";"";""
"Institute Pasteur Cambodge";"Blood Agar";"10";"BAP200220-01";"2020-03-11";"Plate";"";""
"US NAMRU-2";"Blood Agar";"80";"BAP100320-02";"2020-03-16";"Plate";"";""
"US NAMRU-2";"MacConkey Agar";"90";"MAC040320-01";"2020-03-16";"Plate";"";""
"US NAMRU-2";"Chocolate Agar";"50";"CHOC200220-01";"2020-03-16";"Plate";"";""
"US NAMRU-2";"Chocolate Agar";"50";"CHOC250220-01";"2020-03-16";"Plate";"";""
"US NAMRU-2";"Lysine Iron Agar";"50";"LIA270220-01";"2020-03-16";"Tube";"";""
"US NAMRU-2";"Simmons Citrate Agar ";"50";"CIT250220-01";"2020-03-16";"Tube";"";""
"Takeo";"Blood Agar";"160";"BAP180220-01";"2020-02-20";"Plate";"";""
"Takeo";"Simmons Citrate Agar ";"30";"CIT180220-01";"2020-02-20";"Tube";"";""
"Takeo";"Mannitol Salt Agar";"60";"MSA180220-01";"2020-02-20";"Plate";"";""
"Takeo";"Mannitol Salt Agar";"20";"MSA180220-01";"2020-02-20";"Plate";"";""
"BOM";"Blood Agar";"20";"BAP260220-01";"2020-03-04";"Plate";"";""
"BOM";"Chocolate Agar";"10";"CHOC250220-01";"2020-03-04";"Plate";"";""
"Sunrise Hospital";"Blood Agar";"70";"BAP100320-01";"2020-03-18";"Plate";"";""
"Sunrise Hospital";"Chocolate Agar";"30";"CHOC250220-01";"2020-03-18";"Plate";"";""
"Sunrise Hospital";"Mueller Hinton II Agar ";"70";"MHII040320-01";"2020-03-18";"Plate";"";""
"Sunrise Hospital";"MacConkey Agar";"50";"MAC040320-01";"2020-03-18";"Plate";"";""
"Sunrise Hospital";"Kligler Iron Agar";"30";"KIA260220-01";"2020-03-18";"Tube";"";""
"Sunrise Hospital";"Lysine Iron Agar";"30";"LIA270220-01";"2020-03-18";"Tube";"";""
"Sunrise Hospital";"Simmons Citrate Agar ";"30";"CIT250220-01";"2020-03-18";"Tube";"";""
"Sunrise Hospital";"Urea Agar";"30";"URE270220-01";"2020-03-18";"Tube";"";""
"National Pediatric Hospital";"Blood Culture Bottle (child)";"322";"BHI P030320-01";"2020-03-19";"Child Bottle";"";""
"National Pediatric Hospital";"Blood Culture Bottle (child)";"178";"BHI P060320-01";"2020-03-19";"Child Bottle";"";""
"Institute Pasteur Cambodge";"Blood Agar";"20";"BAP100320-02";"2020-03-20";"Plate";"";""
"Siem Reap";"Blood Agar";"200";"BAP100320-02";"2020-03-16";"Plate";"";""
"Siem Reap";"MacConkey Agar";"100";"MAC040320-01";"2020-03-16";"Plate";"";""
"Siem Reap";"Sheep Blood Mueller-Hinton Agar";"30";"SMH250220-01";"2020-03-16";"Plate";"";""
"Siem Reap";"Mannitol Salt Agar";"80";"MSA240220-01";"2020-03-16";"Plate";"";""
"Siem Reap";"Ashdown's Agar";"20";"ASHA050320-01";"2020-03-16";"Plate";"";""
"Siem Reap";"Kligler Iron Agar";"70";"KIA260220-01";"2020-03-16";"Tube";"";""
"Siem Reap";"Lysine Iron Agar";"70";"LIA270220-01";"2020-03-16";"Tube";"";""
"Siem Reap";"Simmons Citrate Agar ";"70";"CIT250220-01";"2020-03-16";"Tube";"";""
"Siem Reap";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"10";"TCBS190220-01";"2020-03-16";"Plate";"";""
"Kossamak";"Mueller Hinton II Agar ";"100";"MHII180320-01";"2020-03-23";"Plate";"";""
"Kossamak";"Blood Agar";"100";"BAP170320-01";"2020-03-23";"Plate";"";""
"Kossamak";"Lysine Iron Agar";"40";"LIA180320-01";"2020-03-23";"Tube";"";""
"Kossamak";"Urea Agar";"40";"URE170320-01";"2020-03-23";"Tube";"";""
"BOM";"Blood Agar";"50";"BAP170320-01";"2020-03-24";"Plate";"";""
"BOM";"MacConkey Agar";"50";"MAC090320-01";"2020-03-24";"Plate";"";""
"BOM";"Chocolate Agar";"20";"CHOC180320-01";"2020-03-24";"Plate";"";""
"BOM";"Mueller Hinton II Agar ";"10";"MHII180320-01";"2020-03-24";"Plate";"";""
"Central Media Making Laboratory";"Blood Agar";"20";"BAP180320-01";"2020-03-30";"Plate";"";""
"Kossamak";"Blood Agar";"190";"BAP180320-01";"2020-04-02";"Plate";"";""
"Kossamak";"Blood Agar";"10";"BAP260320-01";"2020-04-02";"Plate";"";""
"Kossamak";"Mannitol Salt Agar";"20";"MSA160320-01";"2020-04-02";"Plate";"";""
"Kossamak";"Chocolate Agar";"30";"CHOC180320-01";"2020-04-02";"Plate";"";""
"Kossamak";"Kligler Iron Agar";"40";"KIA260220-01";"2020-04-02";"Tube";"";""
"Kossamak";"Lysine Iron Agar";"40";"LIA180320-01";"2020-04-02";"Tube";"";""
"Kossamak";"Sulfide Indole Motility Medium";"40";"SIM251219-03";"2020-04-02";"Tube";"";""
"Kossamak";"Urea Agar";"40";"URE170320-01";"2020-04-02";"Tube";"";""
"Kossamak";"Simmons Citrate Agar ";"80";"CIT250220-01";"2020-04-02";"Tube";"";""
"Amatak Laboratory";"Blood Culture Bottle (child)";"20";"BHI P060320-01";"2020-04-02";"Child Bottle";"";""
"Amatak Laboratory";"Blood Agar";"30";"BAP260320-01";"2020-04-02";"Plate";"";""
"Amatak Laboratory";"Chocolate Agar";"50";"CHOC180320-01";"2020-04-02";"Plate";"";""
"Amatak Laboratory";"Mueller Hinton II Agar ";"20";"MHII180320-01";"2020-04-02";"Plate";"";""
"Amatak Laboratory";"MacConkey Agar";"20";"MAC090320-01";"2020-04-02";"Plate";"";""
"International Standard lab";"Blood Culture Bottle (adult)";"70";"BHI A200320-01";"2020-04-02";"Adult Bottle";"";""
"International Standard lab";"Blood Culture Bottle (child)";"30";"BHI P060320-01";"2020-04-02";"Child Bottle";"";""
"US NAMRU-2";"Blood Culture Bottle (adult)";"50";"BHI A200320-01";"2020-04-03";"Adult Bottle";"";""
"US NAMRU-2";"Blood Agar";"90";"BAP260320-01";"2020-04-03";"Plate";"";""
"US NAMRU-2";"Blood Agar";"10";"BAP260320-02";"2020-04-03";"Plate";"";""
"US NAMRU-2";"Chocolate Agar";"30";"CHOC180320-01";"2020-04-03";"Plate";"";""
"US NAMRU-2";"Mueller Hinton II Agar ";"100";"MHII190320-01";"2020-04-03";"Plate";"";""
"US NAMRU-2";"MacConkey Agar";"30";"MAC090320-01";"2020-04-03";"Plate";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"224";"BHI A110320-01";"2020-03-19";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"176";"BHI A110320-02";"2020-03-19";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (child)";"50";"BHI P030320-01";"2020-03-19";"Child Bottle";"";""
"Siem Reap";"Mueller Hinton II Agar ";"20";"MHII040320-01";"2020-03-19";"Plate";"";""
"Siem Reap";"Mueller Hinton II Agar ";"330";"MHII160320-01";"2020-03-19";"Plate";"";""
"Siem Reap";"Urea Agar";"10";"URE270220-01";"2020-03-19";"Tube";"";""
"Siem Reap";"Urea Agar";"60";"URE170320-01";"2020-03-19";"Tube";"";""
"Kampong Cham";"Blood Culture Bottle (adult)";"27";"BHI A160320-01";"2020-03-26";"Adult Bottle";"";""
"Kampong Cham";"Blood Culture Bottle (adult)";"123";"BHI A170320-01";"2020-03-26";"Adult Bottle";"";""
"Kampong Cham";"Blood Culture Bottle (child)";"50";"BHI P060320-01";"2020-03-26";"Child Bottle";"";""
"Kampong Cham";"Blood Agar";"130";"BAP170320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Blood Agar";"110";"BAP180320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Chocolate Agar";"240";"CHOC250220-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Chocolate Agar";"20";"CHOC180320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Mueller Hinton II Agar ";"200";"MHII180320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"MacConkey Agar";"40";"MAC040320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"MacConkey Agar";"10";"MAC090320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Sheep Blood Mueller-Hinton Agar";"40";"SMH170320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Mannitol Salt Agar";"20";"MSA160320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Hektoen Enteric Agar";"20";"HE040320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Ashdown's Agar";"20";"ASHA050320-01";"2020-03-26";"Plate";"";""
"Kampong Cham";"Kligler Iron Agar";"30";"KIA260220-01";"2020-03-26";"Tube";"";""
"Kampong Cham";"Lysine Iron Agar";"50";"LIA180320-01";"2020-03-26";"Tube";"";""
"Kampong Cham";"Simmons Citrate Agar ";"30";"CIT250220-01";"2020-03-26";"Tube";"";""
"Battambang";"Blood Agar";"80";"BAP260320-02";"2020-04-06";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"30";"MHII190320-01";"2020-04-06";"Plate";"";""
"Battambang";"MacConkey Agar";"120";"MAC190320-01";"2020-04-06";"Plate";"";""
"Battambang";"Mannitol Salt Agar";"10";"MSA160320-01";"2020-04-06";"Plate";"";""
"Battambang";"Ashdown's Agar";"40";"ASHA050320-01";"2020-04-06";"Plate";"";""
"Battambang";"Kligler Iron Agar";"20";"KIA260220-01";"2020-04-06";"Tube";"";""
"Battambang";"Kligler Iron Agar";"80";"KIA050320-01";"2020-04-06";"Tube";"";""
"Battambang";"Lysine Iron Agar";"100";"LIA180320-01";"2020-04-06";"Tube";"";""
"Battambang";"Sulfide Indole Motility Medium";"100";"SIM251219-03";"2020-04-06";"Tube";"";""
"Battambang";"Simmons Citrate Agar ";"70";"CIT250220-01";"2020-04-06";"Tube";"";""
"Battambang";"Simmons Citrate Agar ";"30";"CIT050320-01";"2020-04-06";"Tube";"";""
"Battambang";"Urea Agar";"100";"URE230320-01";"2020-04-06";"Tube";"";""
"Battambang";"Trypticase Soy Agar ";"50";"TSA240320-01";"2020-04-06";"Tube";"";""
"Battambang";"Trypticase Soy Broth + 20% glycerol";"150";"TSBG200320-01";"2020-04-06";"Tube";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"8";"BHI A200320-01";"2020-04-08";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"222";"BHI A200320-02";"2020-04-08";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"225";"BHI A240320-01";"2020-04-08";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"145";"BHI A240320-02";"2020-04-08";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (child)";"28";"BHI P060320-01";"2020-04-08";"Child Bottle";"";""
"Siem Reap";"Blood Culture Bottle (child)";"12";"BHI P300320-01";"2020-04-08";"Child Bottle";"";""
"Siem Reap";"Blood Agar";"210";"BAP260320-02";"2020-04-08";"Plate";"";""
"Siem Reap";"Blood Agar";"90";"BAP310320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Chocolate Agar";"120";"CHOC180320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Chocolate Agar";"180";"CHOC190320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Mueller Hinton II Agar ";"130";"MHII190320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Mueller Hinton II Agar ";"120";"MHII230320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"MacConkey Agar";"200";"MAC190320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Sheep Blood Mueller-Hinton Agar";"40";"SMH170320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Mannitol Salt Agar";"60";"MSA240320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Hektoen Enteric Agar";"10";"HE170320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Ashdown's Agar";"20";"ASHA050320-01";"2020-04-08";"Plate";"";""
"Siem Reap";"Kligler Iron Agar";"60";"KIA050320-01";"2020-04-08";"Tube";"";""
"Siem Reap";"Lysine Iron Agar";"60";"LIA180320-01";"2020-04-08";"Tube";"";""
"Siem Reap";"Sulfide Indole Motility Medium";"60";"SIM251219-03";"2020-04-08";"Tube";"";""
"Siem Reap";"Simmons Citrate Agar ";"60";"CIT050320-01";"2020-04-08";"Tube";"";""
"Siem Reap";"Urea Agar";"60";"URE230320-01";"2020-04-08";"Tube";"";""
"Siem Reap";"Trypticase Soy Agar ";"100";"TSA240320-01";"2020-04-08";"Tube";"";""
"Siem Reap";"Trypticase Soy Broth + 20% glycerol";"35";"TSBG200320-01";"2020-04-08";"Tube";"";""
"Saravorn Laboratory";"Blood Culture Bottle (adult)";"7";"BHI A170320-01";"2020-03-19";"Adult Bottle";"";""
"Saravorn Laboratory";"Blood Culture Bottle (child)";"3";"BHI P060320-01";"2020-03-19";"Child Bottle";"";""
"Urology clinic";"Blood Agar";"10";"BAP100320-02";"2020-03-20";"Plate";"";""
"Urology clinic";"Mueller Hinton II Agar ";"10";"MHII160320-01";"2020-03-20";"Plate";"";""
"Urology clinic";"Mueller Hinton II Agar ";"10";"MHII180320-01";"2020-03-20";"Plate";"";""
"Urology clinic";"MacConkey Agar";"20";"MAC040320-01";"2020-03-20";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Blood Culture Bottle (adult)";"97";"BHI A170320-01";"2020-04-08";"Adult Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Culture Bottle (adult)";"101";"BHI A200320-01";"2020-04-08";"Adult Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Culture Bottle (adult)";"2";"BHI A210220-01";"2020-04-08";"Adult Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"190";"BAP260320-01";"2020-04-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"10";"BAP200220-01";"2020-04-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Chocolate Agar";"10";"CHOC180320-01";"2020-04-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Chocolate Agar";"30";"CHOC200220-01";"2020-04-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Mueller Hinton II Agar ";"30";"MHII180320-01";"2020-04-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Mueller Hinton II Agar ";"70";"MHII190320-01";"2020-04-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"MacConkey Agar";"200";"MAC090320-01";"2020-04-08";"Plate";"";""
"Biobykin";"Blood Culture Bottle (adult)";"30";"BHI A260320-02";"2020-04-09";"Adult Bottle";"";""
"Biobykin";"Blood Culture Bottle (child)";"10";"BHI P300320-01";"2020-04-09";"Child Bottle";"";""
"Biobykin";"Blood Agar";"40";"BAP010420-03";"2020-04-09";"Plate";"";""
"Biobykin";"Chocolate Agar";"30";"CHOC250320-01";"2020-04-09";"Plate";"";""
"Biobykin";"Mannitol Salt Agar";"10";"MSA160320-01";"2020-04-09";"Plate";"";""
"Biobykin";"MacConkey Agar";"20";"MAC070420-01";"2020-04-09";"Plate";"";""
"Biobykin";"Mueller Hinton II Agar ";"40";"MHII250320-01";"2020-04-09";"Plate";"";""
"Biobykin";"Kligler Iron Agar";"10";"KIA050320-01";"2020-04-09";"Tube";"";""
"Biobykin";"Lysine Iron Agar";"10";"LIA230320-01";"2020-04-09";"Tube";"";""
"Biobykin";"Simmons Citrate Agar ";"10";"CIT050320-01";"2020-04-09";"Tube";"";""
"Biobykin";"Sulfide Indole Motility Medium";"10";"SIM251219-03";"2020-04-09";"Tube";"";""
"Biobykin";"Urea Agar";"10";"URE230320-01";"2020-04-09";"Tube";"";""
"Central Media Making Laboratory";"Kligler Iron Agar";"20";"KIA250320-01";"2020-04-15";"Tube";"";""
"Sihanouk Hospital Center of Hope";"Blood Culture Bottle (adult)";"226";"BHI A010420-01";"2020-04-21";"Adult Bottle";"";""
"Sihanouk Hospital Center of Hope";"Blood Culture Bottle (adult)";"229";"BHI A020420-01";"2020-04-21";"Adult Bottle";"";""
"Sihanouk Hospital Center of Hope";"Blood Culture Bottle (adult)";"145";"BHI A260320-02";"2020-04-21";"Adult Bottle";"";""
"BOM";"Blood Agar";"50";"BAP060420-01";"2020-04-21";"Plate";"";""
"BOM";"Blood Agar";"70";"BAP160420-01";"2020-05-05";"Plate";"";""
"BOM";"Chocolate Agar";"40";"CHOC150420-01";"2020-05-05";"Plate";"";""
"BOM";"MacConkey Agar";"70";"MAC170420-01";"2020-05-05";"Plate";"";""
"Biobykin";"Blood Agar";"40";"BAP160420-01";"2020-05-08";"Plate";"";""
"Biobykin";"Chocolate Agar";"30";"CHOC150420-01";"2020-05-08";"Plate";"";""
"Biobykin";"MacConkey Agar";"20";"MAC090420-01";"2020-05-08";"Plate";"";""
"Biobykin";"Mueller Hinton II Agar ";"40";"MHII020420-01";"2020-05-08";"Plate";"";""
"Biobykin";"Kligler Iron Agar";"10";"KIA250320-01";"2020-05-08";"Tube";"";""
"Biobykin";"Lysine Iron Agar";"10";"LIA230320-01";"2020-05-08";"Tube";"";""
"Biobykin";"Simmons Citrate Agar ";"10";"CIT050320-01";"2020-05-08";"Tube";"";""
"Biobykin";"Sulfide Indole Motility Medium";"10";"SIM251219-03";"2020-05-08";"Tube";"";""
"Biobykin";"Urea Agar";"10";"URE240320-01";"2020-05-08";"Tube";"";""
"BOM";"Chocolate Agar";"20";"CHOC310320-01";"2020-04-21";"Plate";"";""
"BOM";"MacConkey Agar";"50";"MAC070420-01";"2020-04-21";"Plate";"";""
"Pro Laboratory";"Blood Agar";"10";"BAP060420-01";"2020-04-24";"Plate";"";""
"Pro Laboratory";"Mueller Hinton II Agar ";"10";"MHII020420-01";"2020-04-24";"Plate";"";""
"Pro Laboratory";"MacConkey Agar";"10";"MAC070420-01";"2020-04-24";"Plate";"";""
"Diagnostic and Detection Laboratory";"Blood Agar";"20";"BAP260320-02";"2020-04-03";"Plate";"";""
"Diagnostic and Detection Laboratory";"Mueller Hinton II Agar ";"20";"MHII190320-01";"2020-04-03";"Plate";"";""
"Diagnostic and Detection Laboratory";"Kligler Iron Agar";"10";"KIA050320-01";"2020-04-03";"Tube";"";""
"Diagnostic and Detection Laboratory";"Sulfide Indole Motility Medium";"10";"SIM251219-03";"2020-04-03";"Tube";"";""
"Diagnostic and Detection Laboratory";"Simmons Citrate Agar ";"10";"CIT050320-01";"2020-04-03";"Tube";"";""
"Diagnostic and Detection Laboratory";"Urea Agar";"10";"URE230320-01";"2020-04-03";"Tube";"";""
"Takeo";"Blood Culture Bottle (adult)";"80";"BHI A240320-02";"2020-04-17";"Adult Bottle";"";""
"Takeo";"Blood Culture Bottle (adult)";"227";"BHI A260320-01";"2020-04-17";"Adult Bottle";"";""
"Takeo";"Blood Culture Bottle (adult)";"23";"BHI A260320-02";"2020-04-17";"Adult Bottle";"";""
"Takeo";"Blood Culture Bottle (child)";"150";"BHI P300320-01";"2020-04-17";"Child Bottle";"";""
"Takeo";"Blood Agar";"200";"BAP310320-01";"2020-04-17";"Plate";"";""
"Takeo";"Blood Agar";"120";"BAP010420-03";"2020-04-17";"Plate";"";""
"Takeo";"Chocolate Agar";"130";"CHOC190320-01";"2020-04-17";"Plate";"";""
"Takeo";"Chocolate Agar";"180";"CHOC250320-01";"2020-04-17";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"230";"MHII230320-01";"2020-04-17";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"70";"MHII250320-01";"2020-04-17";"Plate";"";""
"Takeo";"Sheep Blood Mueller-Hinton Agar";"20";"SMH170320-01";"2020-04-17";"Plate";"";""
"Takeo";"Mannitol Salt Agar";"30";"MSA160320-01";"2020-04-17";"Plate";"";""
"Takeo";"Mannitol Salt Agar";"60";"MSA240320-01";"2020-04-17";"Plate";"";""
"Takeo";"Hektoen Enteric Agar";"10";"HE170320-01";"2020-04-17";"Plate";"";""
"Takeo";"MacConkey Agar";"60";"MAC070420-01";"2020-04-17";"Plate";"";""
"Takeo";"MacConkey Agar";"80";"MAC190320-01";"2020-04-17";"Plate";"";""
"Takeo";"Ashdown's Agar";"20";"ASHA070420-01";"2020-04-17";"Plate";"";""
"Takeo";"Kligler Iron Agar";"70";"KIA050320-01";"2020-04-17";"Tube";"";""
